╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
1616/02/10,::.,"37бу42""","105бу54""",,5.75,VII,9,
1616/10/10,::.,"40бу42""","116бу06""",,5,VI,9,
1618/00/00,::.,"20бу00""","110бу06""",,5,VI,9,
1618/00/00,::.,"25бу48""","99бу12""",,5,VI,9,
1618/05/20,::.,"37бу00""","111бу54""",,6.5,VIII,9,
1618/11/16,::.,"39бу48""","114бу30""",,6.5,VIII,9,
1620/10/19,::.,"37бу06""","117бу30""",,4.75,VI,9,
1620/12/00,::.,"25бу36""","103бу18""",,5,,9,
1621/00/00,::.,"31бу00""","120бу42""",,5,VI,9,
1621/03/00,::.,"39бу30""","116бу42""",,5.5,VII,9,
1621/05/00,::.,"39бу06""","110бу54""",,5,VI,9,
1622/03/18,::.,"35бу30""","116бу00""",,6,VIII,9,
1622/04/17,::.,"36бу36""","116бу48""",,5.5,VII,9,
1622/10/25,::.,"36бу30""","106бу18""",,7,IX,9,
1623/05/04,::.,"25бу30""","100бу30""",,6,,9,
1623/12/26,::.,"36бу06""","115бу12""",,4.75,VI,9,
1624/02/10,::.,"32бу24""","119бу30""",,6,VII,9,
1624/03/26,::.,"26бу30""","99бу54""",,5.5,VII,9,
1624/04/17,::.,"39бу48""","118бу48""",,6.25,VIII,9,
1624/07/00,::.,"26бу54""","100бу12""",,5,VI,9,
1624/07/04,::.,"35бу24""","105бу54""",,6,,9,
1624/07/19,::.,"38бу48""","115бу30""",,5.25,VII,9,
1624/09/01,::.,"31бу12""","121бу30""",,5,VI,9,
1624/10/00,::.,"33бу12""","107бу30""",,5.5,VII,9,
1624/00/00,::.,"38бу24""","112бу42""",,5,VI,9,
1625/04/00,::.,"38бу18""","116бу48""",,5,VI,9,
1626/06/28,::.,"39бу24""","114бу12""",,7,IX,9,
1626/10/08,::.,"26бу54""","109бу42""",,5,VI,9,
1627/02/16,::.,"37бу30""","105бу30""",,6,VIII,9,
1627/00/00,::.,"37бу48""","113бу36""",,5.5,VII,9,
1628/10/06,::.,"40бу36""","114бу12""",,6.25,VIII,9,
1629/03/00,::.,"36бу06""","103бу48""",,5.5,VII,9,
1630/01/16,::.,"32бу36""","104бу06""",,6.25,VIII,9,
1630/02/04,::.,"31бу54""","119бу12""",,4.75,VI,9,
1630/00/00,::.,"30бу42""","113бу30""",,5,VI,9,
1630/10/14,::.,"30бу12""","113бу12""",,5,VI,9,
1631/00/00,::.,"33бу42""","106бу00""",,5,VI,9,
1631/07/00,::.,"35бу30""","107бу48""",,5,VI,9,
1631/07/21,::.,"35бу18""","104бу18""",,5,VI,9,
1631/08/14,::.,"29бу18""","111бу42""",,6.5,VIII,9,
1631/09/00,::.,"25бу48""","105бу12""",,4.75,VI,9,
1631/09/01,::.,"28бу18""","110бу12""",,5,VI,9,
1632/00/00,::.,"32бу24""","109бу42""",,5,VI,9,
1633/00/00,::.,"37бу18""","111бу48""",,5,VI,9,
1634/01/00,::.,"34бу00""","105бу12""",,6,,9,
1634/03/00,::.,"30бу42""","115бу06""",,5.5,,9,
1634/12/00,::.,"35бу06""","107бу42""",,5.5,VII,9,
1634/00/00,::.,"32бу54""","104бу42""",,5.5,VII,9,
1635/10/26,::.,"33бу12""","107бу30""",,5.5,VII,9,
1636/00/00,::.,"33бу06""","107бу00""",,5.5,VII,9,
1636/00/00,::.,"36бу48""","108бу48""",,4.75,VI,9,
1638/01/00,::.,"36бу36""","105бу30""",,5.5,VII,9,
1640/05/00,::.,"34бу42""","112бу24""",,5,VI,9,
1640/09/00,::.,"30бу24""","114бу54""",,5,VI,9,
1641/06/21,::.,"34бу18""","105бу30""",,5,VI,9,
1641/11/26,::.,"23бу30""","116бу30""",,5.75,VII,9,
1642/00/00,::.,"33бу00""","118бу30""",,5,VI,9,
1642/06/30,::.,"35бу06""","111бу06""",,6,VIII,9,
1642/12/00,::.,"25бу30""","101бу18""",,5,VI,9,
1643/12/00,::.,"25бу42""","101бу06""",,5.5,VII,9,
1644/02/08,::.,"32бу54""","117бу30""",,5.5,VII,9,
1644/05/00,::.,"25бу30""","102бу24""",,5,VI,9,
1651/02/16,::.,"26бу12""","116бу36""",,5.5,VI,9,
1652/02/10,::.,"31бу24""","116бу18""",,5.5,VI,9,
1652/03/23,::.,"31бу30""","116бу30""",,6,,9,
1652/07/13,::.,"25бу24""","100бу30""",,6.75,IX,9,
1652/08/00,::.,"33бу24""","104бу48""",,5.5,VII,9,
1653/08/12,::.,"21бу42""","110бу12""",,4.75,,9,
1654/07/21,::.,"34бу18""","105бу30""",,8,XI,9,
1654/09/15,::.,"36бу06""","115бу36""",,5.5,VII,9,
1655/00/00,::.,"23бу00""","120бу12""",,5.5,VII,9,
1655/04/17,::.,"24бу24""","102бу30""",,5,,9,
1656/03/00,::.,"22бу36""","112бу48""",,4.75,VI,9,
1657/04/21,::.,"31бу30""","103бу36""",,6,VIII,9,
1658/02/03,::.,"39бу24""","115бу42""",,6,,9,
1661/02/15,::.,"23бу00""","120бу12""",,6,,9,
1662/00/00,::.,"33бу24""","120бу06""",,4.75,VI,9,
1662/10/11,::.,"33бу12""","114бу48""",,5.5,VII,9,
1663/04/00,::.,"26бу06""","99бу54""",,5,VI,9,
1664/00/00,::.,"38бу42""","112бу42""",,5.5,VII,9,
1664/04/01,::.,"39бу54""","116бу42""",,4.75,VI,9,
1665/00/00,::.,"37бу54""","102бу36""",,5,VI,9,
1665/04/16,::.,"39бу54""","116бу36""",,6.5,VIII,9,
1665/09/19,::.,"22бу42""","111бу36""",,5,VI,9,
1668/07/25,::.,"35бу18""","118бу36""",,8.5,XII,9,
1670/07/00,::.,"25бу12""","102бу12""",,5.5,VII,9,
1671/09/00,::.,"35бу18""","118бу00""",,5,VI,9,
1673/03/29,::.,"31бу48""","117бу18""",,5,VI,9,
1673/10/18,::.,"40бу30""","114бу06""",,5.75,VII,9,
1674/04/00,::.,"24бу30""","103бу42""",,4.75,VI,9,
1675/00/00,::.,"34бу06""","114бу48""",,5.5,VII,9,
1675/06/00,::.,"34бу48""","111бу06""",,4.75,VI,9,
1675/07/00,::.,"35бу36""","116бу48""",,5,VI,9,
1676/11/10,::.,"38бу00""","114бу00""",,4.75,VI,9,
1677/09/00,::.,"33бу24""","104бу48""",,5.5,VII,9,
1677/12/00,::.,"25бу30""","101бу18""",,5.5,VII,9,
1677/00/00,::.,"37бу48""","113бу36""",,5,VI,9,
1678/05/26,::.,"30бу30""","121бу00""",,4.75,VI,9,
1678/00/00,::.,"40бу42""","115бу18""",,5,VI,9,
1679/09/02,::.,"40бу00""","117бу00""",,8,XI,9,
1679/10/00,::.,"37бу30""","112бу30""",,5.5,VII,9,
